PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_LOCATION,TOPIC
Revin Pump Storage Hydroelectric Power Station France,800,France,Ardennes,HYDRO,Environmentally Responsible,49.92537,4.614,"49.92537, 4.614",Pumped Storage Power Plant,Peaking Load and Backup,"Revin, Ardennes, France",POWERPLANTS
Aston Hydroelectric Power Station France,116,France,Ariege,HYDRO,Environmentally Responsible,42.777,1.677,"42.777, 1.677",Dam on a lake,,"Ax les Thermes, Arige, France",POWERPLANTS
Truel Hydroelectric Power Station France,27,France,Aveyron,HYDRO,Environmentally Responsible,44.06,2.769,"44.06, 2.769",Dam with run-of-river generation,,"Le Truel, Aveyron, France",POWERPLANTS
Gerstheim Hydroelectric Power Station France,141,France,Bas-Rhin,HYDRO,Environmentally Responsible,48.404,7.728,"48.404, 7.728",Dam with run-of-river generation,,"Erstein, Bas-Rhin, France",POWERPLANTS
Rhinau Hydroelectric Power Station France,152,France,Bas-Rhin,HYDRO,Environmentally Responsible,48.284,7.678,"48.284, 7.678",Dam with run-of-river generation,,"Rhinau, Bas-Rhin, France",POWERPLANTS
Gambsheim Hydroelectric Power Station France,108,France,Bas-Rhin,HYDRO,Environmentally Responsible,48.682,7.919,"48.682, 7.919",Dam with run-of-river generation,,"Strasbourg, Bas-Rhin, France",POWERPLANTS
L'Aigle Hydroelectric Generating Station France,360,France,Cantal,HYDRO,Environmentally Responsible,45.24343974,2.224774361,"45.243439744, 2.22477436066",,,,POWERPLANTS
Auzerette Hydroelectric Power Station France,29,France,Cantal,HYDRO,Environmentally Responsible,45.365,2.646,"45.365, 2.646",Dam on a lake,,"Bort les Orgues, Cantal, France",POWERPLANTS
Rhue (La) Hydroelectric Power Station France,12,France,Cantal,HYDRO,Environmentally Responsible,45.415,2.499,"45.415, 2.499",Dam on a lake,,"Bort les Orgues, Cantal, France",POWERPLANTS
Enchanet Hydroelectric Power Station France,35,France,Cantal,HYDRO,Environmentally Responsible,45.082,2.194,"45.082, 2.194",Dam on river with reservoir,,"Mauriac, Cantal, France",POWERPLANTS
Bort-les-Orgues Hydroelectric Generating Station France,216,France,Correze,HYDRO,Environmentally Responsible,45.41297268,2.497801781,"45.4129726814, 2.4978017807",,,,POWERPLANTS
Argentat Hydroelectric Power Station France,48,France,Correze,HYDRO,Environmentally Responsible,45.104,1.954,"45.104, 1.954",Dam on river with reservoir,,"Argentat, Correze, France",POWERPLANTS
Gour Noir (Le) Hydroelectric Power Station France,40,France,Correze,HYDRO,Environmentally Responsible,45.071,2.067,"45.071, 2.067",Dam on a lake,,"Argentat, Correze, France",POWERPLANTS
Val Beynette Hydroelectric Power Station France,30,France,Correze,HYDRO,Environmentally Responsible,45.416,2.372,"45.416, 2.372",Dam on a lake,,"Bort les Orgues, Correze, France",POWERPLANTS
Monceaux La Virolle Hydroelectric Power Station France,19,France,Correze,HYDRO,Environmentally Responsible,45.576,1.84,"45.576, 1.84",Dam on a lake,,"Uzerche, Correze, France",POWERPLANTS
Chateauneuf Du Rhone Hydroelectric Power Station France,295,France,Drame,HYDRO,Environmentally Responsible,44.499,4.708,"44.499, 4.708",Dam with run-of-river generation,,"Montelimar, Drome, France",POWERPLANTS
Kembs Hydroelectric Power Station France,156,France,Haut-Rhin,HYDRO,Environmentally Responsible,47.655,7.52,"47.655, 7.52",Dam with run-of-river generation,,"Village Neuf, Haut-Rhin, France",POWERPLANTS
Claux Hydroelectric Power Station France,13.5,France,Hautes-Alpes,HYDRO,Environmentally Responsible,44.876,6.48,"44.876, 6.48",Dam on a lake,,"Briancon, Hautes-Alpes, France",POWERPLANTS
Egets Hydroelectric Power Station France,37.3,France,Hautes-Pyrenees,HYDRO,Environmentally Responsible,42.955,0.565,"42.955, 0.565",Dam on a lake,,"Arreau, Hautes-Pyrenees, France",POWERPLANTS
Louron Hydroelectric Power Station France,49.3,France,Hautes-Pyrenees,HYDRO,Environmentally Responsible,42.79,0.41,"42.79, 0.41",Dam on a lake,,"Arreau, Hautes-Pyrnes, France",POWERPLANTS
Eguzon Hydroelectric Power Station France,72,France,Indre,HYDRO,Environmentally Responsible,46.455,1.613,"46.455, 1.613",Dam on river with reservoir,,"Argenton sur Creuse, Indre, France",POWERPLANTS
Grangent Hydroelectric Power Station France,37,France,Loire,HYDRO,Environmentally Responsible,45.467,4.248,"45.467, 4.248",Dam on river with reservoir,,"Saint Etienne, Loire, France",POWERPLANTS
Villerest Hydroelectric Power Station France,58,France,Loire,HYDRO,Environmentally Responsible,45.9869,4.04938,"45.9869, 4.04938",Dam on river with reservoir,,"Roanne, Loire, France",POWERPLANTS
Artouste Hydroelectric Power Station France,88,France,Pyrenees-Atlantiques,HYDRO,Environmentally Responsible,42.887,-0.411,"42.887, -0.411",Dam on a lake,,"Laruns, Pyrenees-Atlantiques, France",POWERPLANTS
Bathie (La) Hydroelectric Power Station France,510,France,Savoie,HYDRO,Environmentally Responsible,45.645,6.445,"45.645, 6.445",Dam on a lake,,"Albertville, Savoie, France",POWERPLANTS
Brens-Virigin Hydroelectric Power Station France,90,France,Savoie,HYDRO,Environmentally Responsible,45.725,5.698,"45.725, 5.698",Dam with run-of-river generation,,"Brens, Savoie, France",POWERPLANTS
Bathie (La) Hydroelectric Power Station France,546,France,Savoie,HYDRO,Environmentally Responsible,45.64467,6.44817,"45.64467, 6.44817",Dam on a lake,Intermediate/Peak Load,"Albertville, Savoie, France",POWERPLANTS
Vardnili I Hydroelectric Power Plant Georgia,220,Georgia,Abkhazia,HYDRO,Environmentally Responsible,42.6524,41.7619,"42.6524, 41.7619",Dam on river with reservoir,Base Load,"Gali, Abkhazia, Georgia",POWERPLANTS
Lajanuri Hydroelectric Power Plant Georgia,113,Georgia,Racha-Lochkhumi-Kvemo Svaneti,HYDRO,Environmentally Responsible,42.58898,42.8519,"42.58898, 42.8519",Dam with run-of-river generation,Intermediate/Peak Load,"Village Alpana, Tsageri, Lechkhumi, Georgia",POWERPLANTS
Goldisthal Pumped Storage Power Plant Germany,1060,Germany,Thuringia,HYDRO,Environmentally Responsible,50.5075,11.0049,"50.5075, 11.0049",Pumped Storage Power Plant,Peaking Load and Backup,"Thuringia, Germany",POWERPLANTS
Kpong Hydroelectric Project Ghana,160,Ghana,Eastern,HYDRO,Environmentally Responsible,6.12,0.126,"6.12, 0.126",Water discharged from another project,,"Akuse, Eastern, Ghana",POWERPLANTS
Mesochora Hydroelectric Power Plant Greece,162,Greece,Trikala,HYDRO,Environmentally Responsible,39.4644,21.3042,"39.4644, 21.3042",Dam on river with reservoir,,"Thessaly, Trkala, Greece",POWERPLANTS
Chixoy Hydroelectric Power Plant Guatemala,300,Guatemala,Alta Verapaz,HYDRO,Environmentally Responsible,15.28154,-90.49095,"15.28154, -90.49095",Dam on river with reservoir,,"QuixalAlta Verapaz, Guatemala",POWERPLANTS
Jurun Marinala Hydroelectric Power Plant Guatemala,60,Guatemala,Escuintla,HYDRO,Environmentally Responsible,14.38916,-90.710556,"14.38916, -90.710556",Dam with run-of-river generation,,"Agua Blanca, Escuintla, Guatemala",POWERPLANTS
Santa Maria Hydroelectric Power Plant Guatemala,6.88,Guatemala,Quetzaltenango,HYDRO,Environmentally Responsible,14.79622,-91.4603,"14.79622, -91.4603",Dam with run-of-river generation,Peaking Load,"Zunil, Quetzaltenango, Guatemala",POWERPLANTS
Kaleta Hydroelectric Power Plant Guinea,240,Guinea,Fria,HYDRO,Environmentally Responsible,10.4641,-13.281,"10.4641, -13.281",Dam on river with reservoir,,"Kaleta, Fria, Guinea",POWERPLANTS
Jose Cecilio del Valle (Nacaome) Hydroelectric Power Plant Honduras,30,Honduras,Francisco Morazan,HYDRO,Environmentally Responsible,13.6869,-87.3605,"13.6869, -87.3605",Dam on river with reservoir,Peaking Load,"Nacaome, Francisco Morazan, Honduras",POWERPLANTS
Kiskore Hydroelectric Power Plant Hungary,28,Hungary,Heves,HYDRO,Environmentally Responsible,47.49317,20.5157,"47.49317, 20.5157",Dam on river with reservoir,Peaking Load,"Kiskore, Heves, Hungary",POWERPLANTS
Karahnjukar (Fljotsdalur) Hydroelectric Power Plant Iceland,690,Iceland,Austurland,HYDRO,Environmentally Responsible,65.02748,-14.96881,"65.02748, -14.96881",Dam on river with reservoir,Base Load,"Austurland, Iceland",POWERPLANTS
Vatnesfell Hydroelectric Power Station Iceland,90,Iceland,Sudhurland,HYDRO,Environmentally Responsible,64.19655,-19.0342,"64.19655, -19.0342",Dam on river with reservoir,Seasonal: Base,"Sudhurland, Iceland",POWERPLANTS
Hrauneyjafoss Hydroelectric Power Station Iceland,210,Iceland,Sudhurland,HYDRO,Environmentally Responsible,64.20085,-19.24067,"64.20085, -19.24067",Dam on river with reservoir,Seasonal: Base,"Sudhurland, Iceland",POWERPLANTS
Nagarjuna Sagar Left Canal Hydroelectric Power Plant India,60,India,Andhra Pradesh,HYDRO,Environmentally Responsible,16.56972636,79.33885423,"16.5697263581, 79.3388542328",,,,POWERPLANTS
Nagarjuna Sagar Right Canal Hydroelectric Power Plant India,90,India,Andhra Pradesh,HYDRO,Environmentally Responsible,16.56972636,79.33885423,"16.5697263581, 79.3388542328",,,,POWERPLANTS
Priyadarshini Jruala Hydroelectric Power Plant India,234,India,Andhra Pradesh,HYDRO,Environmentally Responsible,16.3328,77.7036,"16.3328, 77.7036",Dam on river with reservoir,Intermediate/Peak Load,"SW of Amarchinta, Andhra Pradesh, India",POWERPLANTS
Lower Jurala Hydroelectric Power Plant India,240,India,Andhra Pradesh,HYDRO,Environmentally Responsible,16.31306,77.7772,"16.31306, 77.7772",Dam with run-of-river generation,,"Atmakur Mandal, Mahabubnagar district, Telangana, India",POWERPLANTS
Ranganadi I Hydro Power Plant India,405,India,Arunachal Pradesh,HYDRO,Environmentally Responsible,27.3426,93.8168,"27.3426, 93.8168",Dam with run-of-river generation,Intermediate/Peak Load,"Yazali, Lower Subansiri District, Arunachal Pradesh, India",POWERPLANTS
Nathpa Jhakri Hydro Electric Project India,1500,India,Himachal Pradesh,HYDRO,Environmentally Responsible,31.564,77.98,"31.564, 77.98",Dam on river with reservoir,Base Load,"Nathpa, District Kinnaur, Himachal Pradesh",POWERPLANTS
Larji Hydroelectric Power Project India,126,India,Himachal Pradesh,HYDRO,Environmentally Responsible,31.7196,77.212,"31.7196, 77.212",Dam with run-of-river generation,,"Upstream of Beas Dam, Mandi District, Himachal Pradesh",POWERPLANTS
Shanan (Uhl-I) Hydroelectric Power Station India,110,India,Himachal Pradesh,HYDRO,Environmentally Responsible,31.9894,76.8072,"31.9894, 76.8072",Dam with run-of-river generation,,"Brot Valley, Jogindernagar, Himachal Pradesh, India",POWERPLANTS
Bassi (Uhl-II) Hydroelectric Power Plant India,60,India,Himachal Pradesh,HYDRO,Environmentally Responsible,31.9546,76.7986,"31.9546, 76.7986",Water discharged from another project,Seasonal: Base,"Bassi, Himachal Pradesh, India",POWERPLANTS
Allain Duhangan Hydroelectric Power Plant India,192,India,Himachal Pradesh,HYDRO,Environmentally Responsible,32.2258,77.207,"32.2258, 77.207",Dam with run-of-river generation,Seasonal: Base,"Prini, Near Manali, Himachal Pradesh, India",POWERPLANTS
Baglihar Hydroelectric Power Project India,900,India,Jammu and Kashmir,HYDRO,Environmentally Responsible,33.18151,75.31546,"33.18151, 75.31546",Dam with run-of-river generation,Base Load,"Near Batote, Chanderkote ,Ramban District, Jammu and Kashmir, India",POWERPLANTS
Uri II Hydroelectric Power Plant India,240,India,Jammu and Kashmir,HYDRO,Environmentally Responsible,34.0921,74.03182,"34.0921, 74.03182",Dam with run-of-river generation,,"Uri, Baramullah, Jammu and Kashmir, India",POWERPLANTS
Almatti Hydro Power Plant India,290,India,Karnataka,HYDRO,Environmentally Responsible,16.33,75.8863,"16.33, 75.8863",Dam on river with reservoir,,"Bijapur District, Karnataka, India",POWERPLANTS
Gerusuppa Hydroelectric Power Plant India,240,India,Karnataka,HYDRO,Environmentally Responsible,14.25164,74.6749,"14.25164, 74.6749",Dam on river with reservoir,,"East of Honnavar, Karnataka, India",POWERPLANTS
Kalinadi Kadra Hydroelectric Power Plant India,150,India,Karnataka,HYDRO,Environmentally Responsible,14.89081152,74.39158885,"14.8908115159, 74.3915888499",,,,POWERPLANTS
Mahatma Gandhi Jog Falls Hydroelectric Power Plant India,139,India,Karnataka,HYDRO,Environmentally Responsible,14.2273,74.79937,"14.2273, 74.79937",Dam with run-of-river generation,Seasonal: Base,"Karnataka, India",POWERPLANTS
Badhra Hydroelectric Power Plant India,39.2,India,Karnataka,HYDRO,Environmentally Responsible,13.7013,75.6368,"13.7013, 75.6368",Dam on river with reservoir,Seasonal: Peaking,"Shankarghatta, Karnataka, India",POWERPLANTS
Sivasamudram Hydroelectric Power Project India,42,India,Karnataka,HYDRO,Environmentally Responsible,12.3082,77.165,"12.3082, 77.165",Barrage with run-of-river Generation,,"Sivasamudram, Karnataka, India",POWERPLANTS
Kuttiyadi Hydroelectric Power Plant India,225,India,Kerala,HYDRO,Environmentally Responsible,11.54835,75.8983,"11.54835, 75.8983",Dam on river with reservoir,Base Load,"29 km east of Vadakara, Kerala, India",POWERPLANTS
Lower Periyar Hydroelectric Power Plant India,180,India,Kerala,HYDRO,Environmentally Responsible,9.9624,76.957,"9.9624, 76.957",Dam with run-of-river generation,Base Load,"32 km from Kothamangalam in Idukki District, Kerala, India",POWERPLANTS
Rajghat Hydroelectric Power Plant India,45,India,Madhya Pradesh,HYDRO,Environmentally Responsible,24.7635,78.2322,"24.7635, 78.2322",Dam on river with reservoir,,"Near Chanderi, Madhya Pradesh, India",POWERPLANTS
Bhira Pumped Storage Hydro Power Plant India,132,India,Maharashtra,HYDRO,Environmentally Responsible,18.4546,73.3923,"18.4546, 73.3923",Pumped Storage Power Plant,,"Bhira, Maharashtra, India",POWERPLANTS
Loktak I Hydroelectric Power Plant India,105,India,Manipur,HYDRO,Environmentally Responsible,24.587,93.6696,"24.587, 93.6696",Dam on river with reservoir,,"39 Km South of Imphal, Manipur, India",POWERPLANTS
Umiam IV Hydroelectric Power Plant India,60,India,Meghalaya,HYDRO,Environmentally Responsible,25.8384,91.7441,"25.8384, 91.7441",Dam with run-of-river generation,Base/Intermediate Load,55 km from Shillong in District Ri Bhoi of Meghalaya,POWERPLANTS
Hirakud-I (Burla) Hydro Power Plant India,276,India,Orissa,HYDRO,Environmentally Responsible,21.5337,83.8754,"21.5337, 83.8754",Dam on river with reservoir,Intermediate/Peak Load,"15 km NW from Sambalpur, Orissa, India",POWERPLANTS
Hirakud-II (Chiplima) Hydroelectric Power Plant India,72,India,Orissa,HYDRO,Environmentally Responsible,21.3527,83.9168,"21.3527, 83.9168",Water discharged from another project,,"Chiplima, 30 km SW of Sambalpur, Orissa, India",POWERPLANTS
Ranjit Sagar Dam (Thein Dam) Hydroelectric Power Station India,600,India,Punjab,HYDRO,Environmentally Responsible,32.440394,75.73047638,"32.4403939971, 75.7304763794",,,,POWERPLANTS
Upper Bari Doab Canal (UBDC) Hydroelectric Power Station India,91,India,Punjab,HYDRO,Environmentally Responsible,32.3367,75.5819,"32.3367, 75.5819",Weir on a Canal,,"3 powerhouses along the UBDC at Ferozpur, Sujanpur, and Sarna, District Hoshiarpur, Punjab, India",POWERPLANTS
Jawahar Sagar Hydroelectric Power Station India,99,India,Rajasthan,HYDRO,Environmentally Responsible,25.0368884,75.67775488,"25.0368883964, 75.677754879",,,,POWERPLANTS
Chujachen Hydroelectric Power Plant India,110,India,Sikkim,HYDRO,Environmentally Responsible,27.2093,88.6659,"27.2093, 88.6659",Dam with run-of-river generation,Seasonal: Base,"Chuzachen Village, East District, Sikkim, India",POWERPLANTS
Kadamparai Hydroelectric Pumped Storage Power Plant India,400,India,Tamil Nadu,HYDRO,Environmentally Responsible,10.4104,77.0435,"10.4104, 77.0435",Pumped Storage Power Plant,,"Near Malaiyandipattanam, Coimbator, Tamil Nadu, India",POWERPLANTS
Sholayar I Hydroelectric Power House India,70,India,Tamil Nadu,HYDRO,Environmentally Responsible,10.3575,76.879,"10.3575, 76.879",Dam on river with reservoir,,,POWERPLANTS
Bhawani Kattalai Barrage II Hydroelectric Power Plant India,30,India,Tamil Nadu,HYDRO,Environmentally Responsible,11.331,77.758,"11.331, 77.758",Barrage with run-of-river Generation,,"Erode, Tamil Nadu, India",POWERPLANTS
Khara Hydroelectric Power Plant India,72,India,Uttar Pradesh,HYDRO,Environmentally Responsible,30.3508,77.6017,"30.3508, 77.6017",Water discharged from another project,Seasonal: Base,"Upstream of Tajewala Dam, Uttar Pradesh, India",POWERPLANTS
Chibro Hydroelectric Power Plant India,240,India,Uttarakhand,HYDRO,Environmentally Responsible,30.5559,77.7915,"30.5559, 77.7915",Dam on river with reservoir,Seasonal: Base,"Ichari, Uttaranchal, India",POWERPLANTS
Ramganga (Kalagarh) Hydro Power Plant India,198,India,Uttarakhand,HYDRO,Environmentally Responsible,29.5169,78.7574,"29.5169, 78.7574",Dam on river with reservoir,Seasonal: Base,"3.5 km North of  Kalagarh in Pauri Garhwal, Uttaranchal, India",POWERPLANTS
Tanakpur Hydro Power Plant India,94.2,India,Uttarakhand,HYDRO,Environmentally Responsible,29.0057,80.09456,"29.0057, 80.09456",Dam with run-of-river generation,,"Tanakpur near Banbassa, District Champawat, Uttaranchal, India",POWERPLANTS
Dhalipur Hydroelectric Power Plant India,51,India,Uttarakhand,HYDRO,Environmentally Responsible,30.4354,77.6821,"30.4354, 77.6821",Dam on a canal,,"Dhalipur, Uttarakhand, India",POWERPLANTS
Shrinagar Hydroelectric Power Plant India,330,India,Uttarakhand,HYDRO,Environmentally Responsible,30.2308,78.7912,"30.2308, 78.7912",Dam with run-of-river generation,Intermediate Load,"Shrinagar, Uttarakhand, India",POWERPLANTS
Maithon DVC Hydroelectric Power Project India,60,India,West Bengal,HYDRO,Environmentally Responsible,23.7872,86.8184,"23.7872, 86.8184",Dam on river with reservoir,,"25 km WNW of Asansol, District Burdaman, West Bengal, India",POWERPLANTS
Dez Dam Hydroelectric Power Plant Iran,520,Islamic Republic of Iran,Khuzestan,HYDRO,Environmentally Responsible,32.6053,48.464,"32.6053, 48.464",Dam on river with reservoir,,"20km NE of Andimeshk, Khuzestan, Iran",POWERPLANTS
Shahid Rajaee Hydroelectric Power Plant Iran,13.5,Islamic Republic of Iran,Mazandaran,HYDRO,Environmentally Responsible,36.249,53.228,"36.249, 53.228",Dam on river with reservoir,,"Tange Soleiman, Mazandaran Province, Iran",POWERPLANTS
Amir Kabir (Karaj) Hydroelectric Power Project Iran,90,Islamic Republic of Iran,Tehran,HYDRO,Environmentally Responsible,35.9564,51.089,"35.9564, 51.089",Dam on river with reservoir,,"23 km North of Karaj, Tehran, Iran",POWERPLANTS
Entracque Rovina-Piastra Pumped Storage Power Plant Italy,134,Italy,Cuneo,HYDRO,Environmentally Responsible,44.2256,7.3817,"44.2256, 7.3817",Pumped Storage Power Plant,Peaking Load,"Entracque, Cuneo, Italy",POWERPLANTS
Roncovalgrande Pumped Storage Power Plant Italy,1016,Italy,Varese,HYDRO,Environmentally Responsible,46.0702,8.7339,"46.0702, 8.7339",Pumped Storage Power Plant,Peaking Load,"Varese, Lombardy, Italy",POWERPLANTS
Shimogo Pumped Storage Power Plant Japan,1000,Japan,Fukushima,HYDRO,Environmentally Responsible,37.3448,139.90866,"37.3448, 139.90866",Pumped Storage Power Plant,Peaking Load and Backup,"Fukushima, Japan",POWERPLANTS
New Richmond Wind Farm Canada,67.8,Canada,Quebec,WIND,Environmentally Responsible,48.2265,-65.6652,"48.2265, -65.6652",,,,POWERPLANTS
Viger-Denonville Wind Farm Canada,24.6,Canada,Quebec,WIND,Environmentally Responsible,47.9063,-69.24013,"47.9063, -69.24013",,,,POWERPLANTS
